"Package" "LibPath" "Version" "Priority" "Depends" "Imports" "LinkingTo" "Suggests" "Enhances" "License" "License_is_FOSS" "License_restricts_use" "OS_type" "MD5sum" "NeedsCompilation" "Built"
"abind" "abind" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.4-5" NA "R (>= 1.5.0)" "methods, utils" NA NA NA "LGPL (>= 2)" NA NA NA NA "no" "4.1.0"
"acepack" "acepack" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.4.1" NA NA NA NA "testthat" NA "MIT + file LICENSE" NA NA NA NA "yes" "4.1.0"
"ade4" "ade4" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.7-16" NA "R (>= 2.10)" "graphics, grDevices, methods, stats, utils, MASS, pixmap, sp,
progress" NA "ade4TkGUI, adegraphics, adephylo, ape, CircStats, deldir,
lattice, spdep, splancs, waveslim" NA "GPL (>= 2)" NA NA NA NA "yes" "4.1.0"
"admisc" "admisc" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.12" NA "R (>= 3.6.0)" "methods" NA "QCA (>= 3.7)" NA "GPL (>= 3)" NA NA NA NA "no" "4.1.0"
"airway" "airway" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.12.0" NA "R (>= 3.5.0), SummarizedExperiment" NA NA "knitr, GEOquery, markdown" NA "LGPL" NA NA NA NA "no" "4.1.0"
"ALL" "ALL" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.34.0" NA "R (>= 2.10), Biobase (>= 2.5.5)" NA NA "rpart" NA "Artistic-2.0" NA NA NA NA "no" "4.1.0"
"amap" "amap" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "0.8-18" NA "R (>= 3.6.0)" NA NA "Biobase" NA "GPL" NA NA NA NA "yes" "4.1.0"
"annotate" "annotate" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.70.0" NA "R (>= 2.10), AnnotationDbi (>= 1.27.5), XML" "Biobase, DBI, xtable, graphics, utils, stats, methods,
BiocGenerics (>= 0.13.8), httr" NA "hgu95av2.db, genefilter, Biostrings (>= 2.25.10), IRanges,
rae230a.db, rae230aprobe, tkWidgets, GO.db, org.Hs.eg.db,
org.Mm.eg.db, humanCHRLOC, Rgraphviz, RUnit," NA "Artistic-2.0" NA NA NA NA "no" "4.1.0"
"AnnotationDbi" "AnnotationDbi" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.54.0" NA "R (>= 2.7.0), methods, utils, stats4, BiocGenerics (>=
0.29.2), Biobase (>= 1.17.0), IRanges" "DBI, RSQLite, S4Vectors (>= 0.9.25), stats, KEGGREST" NA "hgu95av2.db, GO.db, org.Sc.sgd.db, org.At.tair.db, RUnit,
TxDb.Hsapiens.UCSC.hg19.knownGene, org.Hs.eg.db, reactome.db,
AnnotationForge, graph, EnsDb.Hsapiens.v75, BiocStyle, knitr" NA "Artistic-2.0" NA NA NA NA "no" "4.1.0"
"AnnotationFilter" "AnnotationFilter" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.16.0" NA "R (>= 3.4.0)" "utils, methods, GenomicRanges, lazyeval" NA "BiocStyle, knitr, testthat, RSQLite, org.Hs.eg.db" NA "Artistic-2.0" NA NA NA NA "no" "4.1.0"
"AnnotationForge" "AnnotationForge" "/home/alan/R/x86_64-pc-linux-gnu-library/4.1" "1.34.0" NA "R (>= 3.5.0), methods, utils, BiocGenerics (>= 0.15.10),
